Name,Company,Role,Segment,Priority,Est Check Size,Network Path,Contact Method,Trust Level,Notes
Yehuda Lindell,Unbound/Coinbase,Co-founder,Crypto Curious Traditional,Tier 3,$25-50K,Academic network,Academic intro,Pending,MPC academic Bar-Ilan professor
Shlomo Kramer,Check Point,Founder,Exit Millionaire,Tier 3,$100-500K,Warm intro required,Warm intro,Pending,Prolific investor cyber godfather - needs sponsor
Eyal Hertzog,Bancor,Co-founder,Crypto OG,Tier 3,$25-50K,DeFi community,Twitter,Low,DeFi OG AMM pioneer
Arik Shtilman,Rapyd,Co-founder/CEO,Exit Millionaire,Tier 3,$100-500K,Warm intro required,Warm intro,Pending,Fintech billionaire - major upside if accessible
Ofer Ben-Noon,Talon/Palo Alto,Founder,Exit Millionaire,Tier 3,$50-100K,Cyber community,Warm intro,Pending,$625M exit security angel
Guy Podjarny,Snyk,Co-founder,Exit Millionaire,Tier 3,$50-100K,Developer community,LinkedIn,Low,DevSecOps $8.5B valuation
HIDDEN TARGETS - REAL ESTATE/DIAMOND,,,,,,,,,
Idan Ofer,Ofer Family Office,Principal,Crypto Curious Traditional,Tier 3,$200K+,Via tech advisors,Warm intro,Pending,$10B+ family - innovation interest through advisors
Azrieli Foundation,Azrieli Group,Foundation,Crypto Curious Traditional,Tier 3,$100K+,Foundation approach,Warm intro,Pending,$4-6B family - innovation grants angle
HIDDEN TARGETS - SUPER CONNECTORS,,,,,,,,,
Tech Lawyer Partner,Herzog Fox Neeman,Partner,Connector,Tier 2,$10-25K,Client referral,Warm intro,Pending,Gatekeeper to HNWI families
Tech Lawyer Partner,Goldfarb Seligman,Partner,Connector,Tier 2,$10-25K,Client referral,Warm intro,Pending,Real estate family connections
Big 4 Partner,PwC Israel,Partner,Connector,Tier 2,$10-25K,Value exchange,Warm intro,Pending,Knows who has liquidity events
Family Office Advisor,Independent,Advisor,Connector,Tier 2,$10-25K,Through clients,Warm intro,Pending,Manages 5-15 family relationships
DIASPORA BRIDGE,,,,,,,,,
US-Based Israeli,NYC,Founder/Investor,Exit Millionaire,Tier 2,Variable,US outreach,LinkedIn,Pending,Bridge to Israeli families - easier access
UK-Based Israeli,London,Investor,Crypto Curious Traditional,Tier 2,Variable,UK outreach,LinkedIn,Pending,Conservative but wealthy - real estate overlap
